Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TMV,TMV,TMV,TMV,TMV,TMV
Date,,,,,,
2009-04-16 00:00:00+00:00,622.4484252929688,773.75,774.875,760.0,768.0,2504
2009-04-17 00:00:00+00:00,645.8780517578125,802.875,811.5,783.625,785.75,4688
2009-04-20 00:00:00+00:00,611.3870849609375,760.0,779.5,756.75,779.5,2224
2009-04-21 00:00:00+00:00,628.2806396484375,781.0,781.875,732.5,747.5,1816
2009-04-22 00:00:00+00:00,649.498291015625,807.375,815.875,779.25,779.25,2496
2009-04-23 00:00:00+00:00,645.0736694335938,801.875,818.0,798.25,813.125,3448
2009-04-24 00:00:00+00:00,672.1234741210938,835.5,844.75,821.875,825.0,5248
2009-04-27 00:00:00+00:00,658.4478149414062,818.5,847.875,814.875,821.25,2808
2009-04-28 00:00:00+00:00,698.2683715820312,868.0,875.625,813.0,817.125,1648
2009-04-29 00:00:00+00:00,717.7764282226562,892.25,940.0,841.875,864.25,4000
2009-04-30 00:00:00+00:00,729.3404541015625,906.625,924.625,899.375,916.75,4896
2009-05-01 00:00:00+00:00,746.1334228515625,927.5,944.25,924.875,932.25,1528
2009-05-04 00:00:00+00:00,734.1671752929688,912.625,937.5,901.875,920.875,5808
2009-05-05 00:00:00+00:00,737.485595703125,916.75,930.5,900.0,912.625,5856
2009-05-06 00:00:00+00:00,745.1279296875,926.25,933.75,902.5,923.625,6864
2009-05-07 00:00:00+00:00,815.718994140625,1014.0,1027.75,938.75,938.75,4152
2009-05-08 00:00:00+00:00,809.4844970703125,1006.25,1016.125,988.375,1006.875,3280
2009-05-11 00:00:00+00:00,766.4462280273438,952.75,993.75,952.75,993.75,3248
2009-05-12 00:00:00+00:00,760.211669921875,945.0,973.625,933.625,963.375,2440
2009-05-13 00:00:00+00:00,732.9605712890625,911.125,921.25,900.0,921.25,9920
2009-05-14 00:00:00+00:00,721.7987060546875,897.25,922.625,893.75,919.25,4184
2009-05-15 00:00:00+00:00,730.1451416015625,907.625,917.875,901.0,905.75,3296
2009-05-18 00:00:00+00:00,769.7644653320312,956.875,956.875,906.125,910.0,3848
2009-05-19 00:00:00+00:00,774.39013671875,962.625,976.75,952.75,964.875,3640
2009-05-20 00:00:00+00:00,753.77587890625,937.0,978.5,932.375,966.875,5368
2009-05-21 00:00:00+00:00,818.2329711914062,1017.125,1037.5,915.0,924.5,3496
2009-05-22 00:00:00+00:00,848.400146484375,1054.625,1056.5,1012.5,1044.125,4048
2009-05-26 00:00:00+00:00,891.5391235351562,1108.25,1108.25,1026.125,1028.125,6480
2009-05-27 00:00:00+00:00,945.2366333007812,1175.0,1178.25,1089.125,1091.75,7696
2009-05-28 00:00:00+00:00,896.1647338867188,1114.0,1177.5,1100.25,1109.5,12184
2009-05-29 00:00:00+00:00,813.5067749023438,1011.25,1117.5,1007.5,1117.5,8952
2009-06-01 00:00:00+00:00,894.5558471679688,1112.0,1128.0,1070.5,1073.0,5672
2009-06-02 00:00:00+00:00,874.1426391601562,1086.625,1118.75,1075.75,1094.625,3688
2009-06-03 00:00:00+00:00,850.6123657226562,1057.375,1088.625,1052.0,1078.5,2928
2009-06-04 00:00:00+00:00,905.918701171875,1126.125,1142.5,1086.625,1093.125,6648
2009-06-05 00:00:00+00:00,931.359619140625,1157.75,1169.5,1111.625,1160.75,7400
2009-06-08 00:00:00+00:00,942.8231811523438,1172.0,1172.0,1095.25,1095.25,3328
2009-06-09 00:00:00+00:00,934.0746459960938,1161.125,1182.5,1137.5,1159.5,3800
2009-06-10 00:00:00+00:00,989.4817504882812,1230.0,1296.125,1178.0,1194.125,12776
2009-06-11 00:00:00+00:00,949.0579223632812,1179.75,1258.25,1163.0,1251.0,13104
2009-06-12 00:00:00+00:00,925.2257080078125,1150.125,1172.625,1120.625,1170.0,6152
2009-06-15 00:00:00+00:00,896.1647338867188,1114.0,1129.5,1100.0,1121.0,4848
2009-06-16 00:00:00+00:00,844.4783935546875,1049.75,1116.625,1049.75,1110.25,6112
2009-06-17 00:00:00+00:00,861.3719482421875,1070.75,1074.0,1016.875,1047.875,6992
2009-06-18 00:00:00+00:00,896.86865234375,1114.875,1140.625,1080.75,1101.375,7816
2009-06-19 00:00:00+00:00,860.165283203125,1069.25,1133.25,1069.25,1128.0,3616
2009-06-22 00:00:00+00:00,833.4170532226562,1036.0,1059.25,1021.75,1044.75,3712
2009-06-23 00:00:00+00:00,801.8422241210938,996.75,1056.25,989.25,1031.0,8672
2009-06-24 00:00:00+00:00,833.8193969726562,1036.5,1036.875,981.875,997.0,5432
